French,English
histoire,history
chercher,search
police,police
frère,brother
laisser,let
aucun,no
ville,city
parlé,speak
revoir,meet again
parle,speak
voici,here is
affaire,case
donner,give
type,type
leurs,their
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
tiens,here
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
eau,water
attendez,Wait
dirait,would say
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
bureau,office
